id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
52572704,raider13_jacket,RaiderJacket,Good Seller,platinum,4fgjjfg,HOODIE YANKEES MAROON,Sweater,Baru,5,1,29,16,63,0,246500,290000,15,"Deskripsi<br><br/><br><br/>Detail Produk.<br><br/><br><br/>Material : Cotton Import (Gak Bulu)<br><br/>Size : M.L.XL<br><br/><br><br/>Kelengkapan<br><br/>Full Tag &amp; Lable<br><br/>Kualitas : 100% Premium Original<br><br/><br><br/>Size Chart Panjang x Lebar<br><br/>M = ( P 68x56 )<br><br/>L = ( P 70x58 )<br><br/>XL = ( P 73x60 )<br><br/><br><br/>Warna :<br><br/>- Maroon<br><br/><br><br/>Untuk Menghemat Ongkos kirim Sebaiknya Sekalian Beli 2 Barang/Produk Lainnya di Lapak Kami. 1kg bisa masuk beberapa pcs barang, tanyakan langsung ke admin kami via chat bukalapak.<br><br/><br><br/>Note:<br><br/>* PENTING Chat kami terdahulu sebelum gan/sist order dilapak kami untuk m'hindari kesalah fahaman sebelum melakukan order/pemesanan<br><br/><br><br/>* Mohon sertakan jenis barang dan size saat order di catatan pemesanan<br><br/><br><br/>* Kami berusaha memberikan pelayanan prima, barang2 produk terbaik ,kepuasan para konsumen yang kami utamakan<br><br/><br><br/>Anda puas kasih tau kawan ,anda kurang puas kasih tau kami !!!<br><br/><br><br/>* Jelasnya lagi aturan pelapak kami, baca catatan pelapak/peraturan pelapak di bawah deskripsi ini.<br><br/><br><br/>TERIMA KASIH<br><br/><br><br/>#jaket #jaketkacamata #kacamata #company #import"
52572704,raider13_jacket,RaiderJacket,Good Seller,platinum,4fgjijg,HOODIE YANKEES GREY,Sweater,Baru,4,2,29,3,59,0,246500,290000,15,"Deskripsi<br><br/><br><br/>Detail Produk.<br><br/><br><br/>Material : Cotton Import (Gak Bulu)<br><br/>Size : M.L.XL<br><br/><br><br/>Kelengkapan<br><br/>Full Tag &amp; Lable<br><br/>Kualitas : 100% Premium Original<br><br/><br><br/>Size Chart Panjang x Lebar<br><br/>M = ( P 68x56 )<br><br/>L = ( P 70x58 )<br><br/>XL = ( P 73x60 )<br><br/><br><br/>Warna :<br><br/>- Grey<br><br/><br><br/>Untuk Menghemat Ongkos kirim Sebaiknya Sekalian Beli 2 Barang/Produk Lainnya di Lapak Kami. 1kg bisa masuk beberapa pcs barang, tanyakan langsung ke admin kami via chat bukalapak.<br><br/><br><br/>Note:<br><br/>* PENTING Chat kami terdahulu sebelum gan/sist order dilapak kami untuk m'hindari kesalah fahaman sebelum melakukan order/pemesanan<br><br/><br><br/>* Mohon sertakan jenis barang dan size saat order di catatan pemesanan<br><br/><br><br/>* Kami berusaha memberikan pelayanan prima, barang2 produk terbaik ,kepuasan para konsumen yang kami utamakan<br><br/><br><br/>Anda puas kasih tau kawan ,anda kurang puas kasih tau kami !!!<br><br/><br><br/>* Jelasnya lagi aturan pelapak kami, baca catatan pelapak/peraturan pelapak di bawah deskripsi ini.<br><br/><br><br/>TERIMA KASIH<br><br/><br><br/>#jaket #jaketkacamata #kacamata #company #import"
52572704,raider13_jacket,RaiderJacket,Good Seller,platinum,4fgjhgy,HOODIE YANKEES HITAM,Sweater,Baru,5,7,24,19,84,0,246500,290000,15,"Deskripsi<br><br/><br><br/>Detail Produk.<br><br/><br><br/>Material : Cotton Import (Gak Bulu)<br><br/>Size : M.L.XL<br><br/><br><br/>Kelengkapan<br><br/>Full Tag &amp; Lable<br><br/>Kualitas : 100% Premium Original<br><br/><br><br/>Size Chart Panjang x Lebar<br><br/>M = ( P 68x56 )<br><br/>L = ( P 70x58 )<br><br/>XL = ( P 73x60 )<br><br/><br><br/>Warna :<br><br/>- Hitam<br><br/><br><br/>Untuk Menghemat Ongkos kirim Sebaiknya Sekalian Beli 2 Barang/Produk Lainnya di Lapak Kami. 1kg bisa masuk beberapa pcs barang, tanyakan langsung ke admin kami via chat bukalapak.<br><br/><br><br/>Note:<br><br/>* PENTING Chat kami terdahulu sebelum gan/sist order dilapak kami untuk m'hindari kesalah fahaman sebelum melakukan order/pemesanan<br><br/><br><br/>* Mohon sertakan jenis barang dan size saat order di catatan pemesanan<br><br/><br><br/>* Kami berusaha memberikan pelayanan prima, barang2 produk terbaik ,kepuasan para konsumen yang kami utamakan<br><br/><br><br/>Anda puas kasih tau kawan ,anda kurang puas kasih tau kami !!!<br><br/><br><br/>* Jelasnya lagi aturan pelapak kami, baca catatan pelapak/peraturan pelapak di bawah deskripsi ini.<br><br/><br><br/>TERIMA KASIH<br><br/><br><br/>#jaket #jaketkacamata #kacamata #company #import"
52572704,raider13_jacket,RaiderJacket,Good Seller,platinum,4fg1hyp,HOODIE H&M TOY STORY PUTIH,Sweater,Baru,5,3,18,7,31,0,221000,260000,15,"Deskripsi<br><br/><br><br/>Detail Produk.<br><br/><br><br/>Material : Cotton Import (Gak Bulu)<br><br/>Size : M.L.XL<br><br/><br><br/>Kelengkapan<br><br/>Full Tag &amp; Lable<br><br/>Kualitas : 100% Premium Original<br><br/><br><br/>Size Chart Panjang x Lebar<br><br/>M = ( P 68x56 )<br><br/>L = ( P 70x58 )<br><br/>XL = ( P 73x60 )<br><br/><br><br/>Warna :<br><br/>- Putih<br><br/><br><br/>Untuk Menghemat Ongkos kirim Sebaiknya Sekalian Beli 2 Barang/Produk Lainnya di Lapak Kami. 1kg bisa masuk beberapa pcs barang, tanyakan langsung ke admin kami via chat bukalapak.<br><br/><br><br/>Note:<br><br/>* PENTING Chat kami terdahulu sebelum gan/sist order dilapak kami untuk m'hindari kesalah fahaman sebelum melakukan order/pemesanan<br><br/><br><br/>* Mohon sertakan jenis barang dan size saat order di catatan pemesanan<br><br/><br><br/>* Kami berusaha memberikan pelayanan prima, barang2 produk terbaik ,kepuasan para konsumen yang kami utamakan<br><br/><br><br/>Anda puas kasih tau kawan ,anda kurang puas kasih tau kami !!!<br><br/><br><br/>* Jelasnya lagi aturan pelapak kami, baca catatan pelapak/peraturan pelapak di bawah deskripsi ini.<br><br/><br><br/>TERIMA KASIH<br><br/><br><br/>#jaket #jaketkacamata #kacamata #company #import"
52572704,raider13_jacket,RaiderJacket,Good Seller,platinum,4f6h51g,CREWNECK LAKERS HITAM,Sweater,Baru,4.3,6,25,16,153,0,200000,200000,0,"CUCI GUDANG PROMO TERBATAS SIAPA CEPAT DAPAT<br><br/><br><br/>Detail Produk.<br><br/><br><br/>Material : Cotton Import (Gak Bulu)<br><br/>Size : M.L.XL<br><br/><br><br/>Kelengkapan<br><br/>Full Tag &amp; Lable<br><br/>Kualitas : 100% Premium Original<br><br/><br><br/>Size Chart Panjang x Lebar<br><br/>M = ( P 68x56 )<br><br/>L = ( P 70x58 )<br><br/>XL = ( P 73x60 )<br><br/><br><br/>Untuk Menghemat Ongkos kirim Sebaiknya Sekalian Beli 2 Barang/Produk Lainnya di Lapak Kami. 1kg bisa masuk beberapa pcs barang, tanyakan langsung ke admin kami via chat bukalapak.<br><br/><br><br/>Note:<br><br/>* PENTING Chat kami terdahulu sebelum gan/sist order dilapak kami untuk m'hindari kesalah fahaman sebelum melakukan order/pemesanan<br><br/><br><br/>* Mohon sertakan jenis barang dan size saat order di catatan pemesanan<br><br/><br><br/>* Kami berusaha memberikan pelayanan prima, barang2 produk terbaik ,kepuasan para konsumen yang kami utamakan<br><br/><br><br/>Anda puas kasih tau kawan ,anda kurang puas kasih tau kami !!!<br><br/><br><br/>* Jelasnya lagi aturan pelapak kami, baca catatan pelapak/peraturan pelapak di bawah deskripsi ini.<br><br/><br><br/>TERIMA KASIH<br><br/><br><br/>#jaket #jaketkacamata #kacamata #company #import"
52572704,raider13_jacket,RaiderJacket,Good Seller,platinum,4f6h4hj,Crewneck Lakers Putih,Sweater,Baru,5,2,17,8,120,0,200000,200000,0,"CUCI GUDANG PROMO TERBATAS SIAPA CEPAT DAPAT<br><br/><br><br/>Detail Produk.<br><br/><br><br/>Material : Cotton Import (Gak Bulu)<br><br/>Size : M.L.XL<br><br/><br><br/>Kelengkapan<br><br/>Full Tag &amp; Lable<br><br/>Kualitas : 100% Premium Original<br><br/><br><br/>Size Chart Panjang x Lebar<br><br/>M = ( P 68x56 )<br><br/>L = ( P 70x58 )<br><br/>XL = ( P 73x60 )<br><br/><br><br/>Untuk Menghemat Ongkos kirim Sebaiknya Sekalian Beli 2 Barang/Produk Lainnya di Lapak Kami. 1kg bisa masuk beberapa pcs barang, tanyakan langsung ke admin kami via chat bukalapak.<br><br/><br><br/>Note:<br><br/>* PENTING Chat kami terdahulu sebelum gan/sist order dilapak kami untuk m'hindari kesalah fahaman sebelum melakukan order/pemesanan<br><br/><br><br/>* Mohon sertakan jenis barang dan size saat order di catatan pemesanan<br><br/><br><br/>* Kami berusaha memberikan pelayanan prima, barang2 produk terbaik ,kepuasan para konsumen yang kami utamakan<br><br/><br><br/>Anda puas kasih tau kawan ,anda kurang puas kasih tau kami !!!<br><br/><br><br/>* Jelasnya lagi aturan pelapak kami, baca catatan pelapak/peraturan pelapak di bawah deskripsi ini.<br><br/><br><br/>TERIMA KASIH<br><br/><br><br/>#jaket #jaketkacamata #kacamata #company #import"
52572704,raider13_jacket,RaiderJacket,Good Seller,platinum,4bpg65j,JAKET ZIPPER HOODIE CHAMPION TEXT TERLARIS PRIA WANITA,Jaket,Baru,4.8,20,392,37,138,0,225000,300000,25,"Deskripsi<br><br/><br><br/>Detail Produk.<br><br/><br><br/>Material : Cotton Import (Gak Bulu)<br><br/>Size : M.L.XL<br><br/><br><br/>Kelengkapan<br><br/>Full Tag &amp; Lable<br><br/>Kualitas : 100% Premium Original<br><br/><br><br/>Size Chart Panjang x Lebar<br><br/>M = ( P 68x56 )<br><br/>L = ( P 70x58 )<br><br/>XL = ( P 73x60 )<br><br/><br><br/>Warna :<br><br/>- Hijau Army<br><br/>- Hitam<br><br/>- Hijau Botol<br><br/>- Maroon<br><br/><br><br/>Untuk Menghemat Ongkos kirim Sebaiknya Sekalian Beli 2 Barang/Produk Lainnya di Lapak Kami. 1kg bisa masuk beberapa pcs barang, tanyakan langsung ke admin kami via chat bukalapak.<br><br/><br><br/>Note:<br><br/>* PENTING Chat kami terdahulu sebelum gan/sist order dilapak kami untuk m'hindari kesalah fahaman sebelum melakukan order/pemesanan<br><br/><br><br/>* Mohon sertakan jenis barang dan size saat order di catatan pemesanan<br><br/><br><br/>* Kami berusaha memberikan pelayanan prima, barang2 produk terbaik ,kepuasan para konsumen yang kami utamakan<br><br/><br><br/>Anda puas kasih tau kawan ,anda kurang puas kasih tau kami !!!<br><br/><br><br/>* Jelasnya lagi aturan pelapak kami, baca catatan pelapak/peraturan pelapak di bawah deskripsi ini.<br><br/><br><br/>TERIMA KASIH<br><br/><br><br/>#jaket #jaketkacamata #kacamata #company #import"
52572704,raider13_jacket,RaiderJacket,Good Seller,platinum,4bh35bv,HOODIE SWEATER PULL&BEAR EMBOZ HIJAU ARMY TERLARIS PRIA WANITA,Sweater,Baru,5,30,519,76,370,0,255000,300000,15,TANYA STOCK SEBELUM BAYAR<br><br/>GROSIR HARGA SPECIAL <br><br/><br><br/>Gambar Realpict<br><br/>Bahan Cotton Import<br><br/>Printing Emboz / Bordier<br><br/>Unisex Untuk Pria/Wanita<br><br/><br><br/>Warna :<br><br/>- Hijau Army<br><br/>- Maroon<br><br/>- Mocca<br><br/>- Hitam<br><br/>- Navy<br><br/><br><br/><br><br/>Size Chart : Euro<br><br/>M : 72cm x 54cm<br><br/>L : 74cm x 56cm<br><br/>XL : 76cm x 58cm<br><br/>_________________________<br><br/>#crewneckchampion #offwhite
52572704,raider13_jacket,RaiderJacket,Good Seller,platinum,4ads803,HOODIE SWEATER DICKIES HITAM TERLARIS PRIA WANITA,Sweater,Baru,5,6,57,18,89,0,246500,290000,15,"CUCI GUDANG PROMO TERBATAS SIAPA CEPAT DAPAT<br><br/><br><br/>Detail Produk.<br><br/><br><br/>Material : Cotton Import (Gak Bulu)<br><br/>Size : M.L.XL<br><br/><br><br/>Kelengkapan<br><br/>Full Tag &amp; Lable<br><br/>Kualitas : 100% Premium Original<br><br/><br><br/>Size Chart Panjang x Lebar<br><br/>M = ( P 68x56 )<br><br/>L = ( P 70x58 )<br><br/>XL = ( P 73x60 )<br><br/><br><br/>Untuk Menghemat Ongkos kirim Sebaiknya Sekalian Beli 2 Barang/Produk Lainnya di Lapak Kami. 1kg bisa masuk beberapa pcs barang, tanyakan langsung ke admin kami via chat shopee.<br><br/><br><br/>Note:<br><br/>* PENTING Chat kami terdahulu sebelum gan/sist order dilapak kami untuk m'hindari kesalah fahaman sebelum melakukan order/pemesanan<br><br/><br><br/>* Mohon sertakan jenis barang dan size saat order di catatan pemesanan<br><br/><br><br/>* Kami berusaha memberikan pelayanan prima, barang2 produk terbaik ,kepuasan para konsumen yang kami utamakan<br><br/><br><br/>Anda puas kasih tau kawan ,anda kurang puas kasih tau kami !!!<br><br/><br><br/>* Jelasnya lagi aturan pelapak kami, baca catatan pelapak/peraturan pelapak di bawah deskripsi ini.<br><br/><br><br/>TERIMA KASIH<br><br/><br><br/>#jaket #jaketkacamata #kacamata #company #import #jordan #nasa #hoodie #sweater #jaket #h&amp;m"
52572704,raider13_jacket,RaiderJacket,Good Seller,platinum,4adrp48,HOODIE SWEATER CHAMPION TEXT HITAM TERLARIS PRIA WANITA,Sweater,Baru,4.6,16,49,28,65,0,195000,260000,25,"CUCI GUDANG PROMO TERBATAS SIAPA CEPAT DAPAT<br><br/><br><br/>Detail Produk.<br><br/><br><br/>Material : Cotton Import (Gak Bulu)<br><br/>Size : M.L.XL<br><br/><br><br/>Kelengkapan<br><br/>Full Tag &amp; Lable<br><br/>Kualitas : 100% Premium Original<br><br/><br><br/>Size Chart Panjang x Lebar<br><br/>M = ( P 68x56 )<br><br/>L = ( P 70x58 )<br><br/>XL = ( P 73x60 )<br><br/><br><br/>Untuk Menghemat Ongkos kirim Sebaiknya Sekalian Beli 2 Barang/Produk Lainnya di Lapak Kami. 1kg bisa masuk beberapa pcs barang, tanyakan langsung ke admin kami via chat shopee.<br><br/><br><br/>Note:<br><br/>* PENTING Chat kami terdahulu sebelum gan/sist order dilapak kami untuk m'hindari kesalah fahaman sebelum melakukan order/pemesanan<br><br/><br><br/>* Mohon sertakan jenis barang dan size saat order di catatan pemesanan<br><br/><br><br/>* Kami berusaha memberikan pelayanan prima, barang2 produk terbaik ,kepuasan para konsumen yang kami utamakan<br><br/><br><br/>Anda puas kasih tau kawan ,anda kurang puas kasih tau kami !!!<br><br/><br><br/>* Jelasnya lagi aturan pelapak kami, baca catatan pelapak/peraturan pelapak di bawah deskripsi ini.<br><br/><br><br/>TERIMA KASIH<br><br/><br><br/>#jaket #jaketkacamata #kacamata #company #import #jordan #nasa #hoodie #sweater #jaket #h&amp;m"
